OrderID,OrderDate,name,category,price,short_description,dimensions,link
DEMO-1396,2023-01-01,NYMÅNE,Lighting,45.0,Lámpara techo,Ancho: 40cm,https://www.ikea.com/es/es/search/products/?q=NYMÅNE
DEMO-4588,2023-01-01,TÄRNÖ,Outdoor,15.0,Mesa jardín,140x78 cm,https://www.ikea.com/es/es/search/products/?q=ÄPPLARÖ
DEMO-4588,2023-01-01,ÄPPLARÖ,Outdoor,149.0,Mesa jardín,140x78 cm,https://www.ikea.com/es/es/search/products/?q=ÄPPLARÖ
DEMO-4710,2023-01-01,MICKE,Tables,89.0,Escritorio blanco,73x50 cm,https://www.ikea.com/es/es/search/products/?q=MICKE
DEMO-5528,2023-01-01,MARKUS,Chairs,179.0,Silla ergonómica,Alto: 140cm,https://www.ikea.com/es/es/search/products/?q=MARKUS
DEMO-6194,2023-01-01,STOCKHOLM,Decoration,99.0,Espejo redondo,80 cm,https://www.ikea.com/es/es/search/products/?q=STOCKHOLM
DEMO-6544,2023-01-01,FLINTAN,Chairs,79.0,Silla escritorio,Alto: 110cm,https://www.ikea.com/es/es/search/products/?q=FLINTAN
DEMO-7401,2023-01-01,MALM,Beds,249.0,Cama alta,160x200 cm,https://www.ikea.com/es/es/search/products/?q=MALM
DEMO-7401,2023-01-01,NATTJASMIN,Textiles,29.99,Cama alta,160x200 cm,https://www.ikea.com/es/es/search/products/?q=MALM
DEMO-9542,2023-01-01,TÄRNÖ,Outdoor,15.0,Silla plegable,Alto: 70cm,https://www.ikea.com/es/es/search/products/?q=TÄRNÖ
O1001,2024-09-15,KIVIK,Chairs,799.0,Chaise longue,"Ancho: 90.0cm, Alto: 83.0cm, Fondo: 163.0cm",https://www.ikea.com/sa/en/p/kivik-chaise-longue-skiftebo-dark-grey-s79305512/
O1004,2024-11-20,GULLKLOCKA,Bedding,49.99,,,
O1005,2024-12-10,FADO,Lamps,19.99,,,
O1005,2024-12-10,GULLKLOCKA,Bedding,59.99,,,
O1005,2024-12-11,GULLKLOCKA,Bedding,59.99,,,
O1005,2024-12-10,HEKTAR,Lamps,930.56,,,
O1005,2024-12-10,TRÅDFRI,Lighting,15.0,,,
O1006,2023-04-25,INGATORP,Chairs,546.04,"Table and 4 chairs, 155 cm","Ancho: 87.0cm, Alto: 74.0cm",https://www.ikea.com/sa/en/p/ingatorp-ingolf-table-and-4-chairs-white-s29917307/
O1007,2024-08-26,TILLREDA,Appliances,957.28,,,
O1007,2024-08-28,VINDUM,Rugs,250.0,,,
O1009,2023-08-03,BILLY,Bookcases & shelving units,271.04,"Bookcase, 80x28x202 cm","Ancho: 80.0cm, Alto: 202.0cm, Fondo: 28.0cm",https://www.ikea.com/sa/en/p/billy-bookcase-white-00263850/
O1009,2023-08-03,LINNMON/ADILS,Tables,260.12,,,
O1010,2024-08-03,STOENSE,Rugs,140.91,,,
O1010,2024-08-04,STOENSE,Rugs,140.91,,,
O1013,2024-01-26,LINNMON/ADILS,Tables,260.12,,,
O1014,2023-01-23,HEKTAR,Lamps,930.56,,,
O1014,2023-01-23,TRÅDFRI,Lighting,15.0,,,
O1015,2023-02-08,FÄRGRIK,Dinnerware,1.89,,,
O1018,2023-09-07,FADO,Lamps,884.09,,,
O1018,2023-09-09,FÄRGRIK,Dinnerware,1.89,,,
O1018,2023-09-07,LACK,Bookcases & shelving units,25.0,"Wall shelf unit, 30x190 cm","Ancho: 30.0cm, Alto: 190.0cm, Fondo: 28.0cm",https://www.ikea.com/sa/en/p/lack-wall-shelf-unit-white-60282186/
O1019,2023-04-10,HEMNES,Beds,86.99,"Bed frame, 140x200 cm",Ancho: 154.0cm,https://www.ikea.com/sa/en/p/hemnes-bed-frame-white-stain-s89931560/
O1020,2024-03-24,GULLKLOCKA,Bedding,59.99,,,
O1022,2024-11-20,LERSTA,Lamps,5.99,,,
O1023,2023-07-06,LINNMON/ADILS,Tables,260.12,,,
O1023,2023-07-06,OFTAST,Dinnerware,4.99,,,
O1024,2024-07-27,BRIMNES,Beds,321.05,"Bed frame w storage and headboard, 90x200 cm","Ancho: 96.0cm, Alto: 110.0cm, Fondo: 54.0cm",https://www.ikea.com/sa/en/p/brimnes-bed-frame-w-storage-and-headboard-white-luroey-s49278341/
O1027,2024-06-28,FÄLTSKÄR,Bedding,993.45,,,
O1027,2024-06-25,LACK,Bookcases & shelving units,25.0,"Wall shelf unit, 30x190 cm","Ancho: 30.0cm, Alto: 190.0cm, Fondo: 28.0cm",https://www.ikea.com/sa/en/p/lack-wall-shelf-unit-white-60282186/
